Filename,Substrate,Incline,Indiv,Fish.Weight.g,Fish.TotalLength.cm,Premovement,continued.moving,tail.body.use,dorsoventral.bending,Ave.speed.units.s,total.stride.time.s,pectoral.stance.s,total.pelvic.stance.s,pectoral.propulsion.s,pectoralDF,pelvicDF.total,pelvicDF.part1,pelvicDF.part2,prop.pectoral.propulsion,pectoral.spread.mm
FS_00l_pb07f07,FS,0,pb07,8,13,n,y,n,y,0.035641356,0.515,0.375,0.41,0.29,0.72815534,0.796116505,0.359223301,0.436893204,0.563106796,6.73
FS_00l_pb07f08,FS,0,pb07,8,13,y,y,n,n,0.035641356,0.59,0.43,0.42,0.3,0.728813559,0.711864407,0.220338983,0.491525424,0.508474576,7.64
FS_00l_pb07f09,FS,0,pb07,8,13,y,y,n,n,0.035641356,0.485,0.41,0.315,0.31,0.845360825,0.649484536,0.288659794,0.360824742,0.639175258,8.02
FS_00l_pb07f10,FS,0,pb07,8,13,y,y,n,n,0.035641356,0.61,0.475,0.405,0.345,0.778688525,0.663934426,0.229508197,0.43442623,0.56557377,
FS_00l_pb07f11,FS,0,pb07,8,13,y,y,n,y,0.035641356,0.575,0.465,0.405,0.305,0.808695652,0.704347826,0.234782609,0.469565217,0.530434783,
FS_00l_pb08f02,FS,0,pb08,9,15,n,y,n,y,0.035762474,0.495,0.305,0.42,0.195,0.616161616,0.848484848,0.242424242,0.606060606,0.393939394,8.61
FS_00l_pb08f03,FS,0,pb08,9,15,n,n,n,y,0.035762474,0.65,0.35,0.6,0.185,0.538461538,0.923076923,0.207692308,0.715384615,0.284615385,8.53
FS_00l_pb08f04,FS,0,pb08,9,15,n,y,y,y,0.035762474,0.455,0.28,0.455,,0.615384615,1,,,,
FS_00l_pb08f05,FS,0,pb08,9,15,y,y,y,y,0.035762474,0.46,0.34,0.42,0.2,0.739130435,0.913043478,0.347826087,0.565217391,0.434782609,6.17
FS_00l_pb08f06,FS,0,pb08,9,15,y,y,y,y,0.035762474,0.56,0.44,0.485,0.265,0.785714286,0.866071429,0.339285714,0.526785714,0.473214286,8.38
FS_00l_pb08f07,FS,0,pb08,9,15,y,y,y,y,0.035762474,0.435,0.315,0.365,0.18,0.724137931,0.83908046,0.252873563,0.586206897,0.413793103,
FS_00l_pb08f08,FS,0,pb08,9,15,n,y,y,y,0.035762474,0.54,0.41,0.52,0.22,0.759259259,0.962962963,0.37037037,0.592592593,0.407407407,
FS_00l_pb09f01,FS,0,pb09,2,7.5,n,y,y,y,0.036443261,0.76,0.53,0.725,0.335,0.697368421,0.953947368,0.394736842,0.559210526,0.440789474,
FS_00l_pb09f02,FS,0,pb09,2,7.5,n,y,y,y,0.036443261,0.57,0.49,0.49,0.42,0.859649123,0.859649123,0.596491228,0.263157895,0.736842105,
FS_00l_pb09f03,FS,0,pb09,2,7.5,y,y,y,y,0.036443261,0.345,0.225,0.305,0.13,0.652173913,0.884057971,0.260869565,0.623188406,0.376811594,4.63
FS_00l_pb09f04,FS,0,pb09,2,7.5,y,y,y,y,0.036443261,0.39,0.23,0.33,0.17,0.58974359,0.846153846,0.282051282,0.564102564,0.435897436,
FS_00l_pb09f05,FS,0,pb09,2,7.5,n,y,n,y,0.036443261,0.49,0.37,0.43,0.27,0.755102041,0.87755102,0.428571429,0.448979592,0.551020408,3.77
FS_00l_pb09f06,FS,0,pb09,2,7.5,n,y,y,y,0.036443261,0.42,0.35,0.365,0.325,0.833333333,0.869047619,0.642857143,0.226190476,0.773809524,5.02
FS_00l_pb09f07,FS,0,pb09,2,7.5,n,y,y,y,0.036443261,0.455,0.35,0.41,0.175,0.769230769,0.901098901,0.285714286,0.615384615,0.384615385,4.67
