pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y,pt10_cam1_X,pt10_cam1_Y,pt11_cam1_X,pt11_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
136.988408,881.920928,192.440000,787.590000,226.610000,736.130000,158.320000,727.390000,220.860000,706.070000,341.930000,649.830000,408.380000,679.440000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
136.354353,882.134185,191.310000,788.000000,225.120000,735.860000,155.990000,727.530000,220.030000,705.890000,341.290000,650.360000,407.300000,680.190000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
134.797594,882.560701,190.860000,788.500000,223.780000,735.900000,154.200000,728.340000,219.100000,705.600000,340.220000,650.100000,406.080000,680.330000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
133.874890,882.987216,190.360000,789.510000,222.930000,735.980000,152.420000,728.420000,218.190000,705.100000,340.120000,650.480000,405.540000,680.730000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
133.029483,883.413731,189.910000,790.030000,222.120000,735.960000,150.800000,728.640000,217.170000,704.660000,339.590000,649.740000,405.090000,680.450000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
131.472724,884.053503,188.890000,789.980000,221.800000,735.910000,149.630000,728.520000,216.250000,704.480000,338.900000,649.500000,404.840000,679.900000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
129.704614,884.766761,187.890000,789.930000,221.330000,735.910000,149.540000,728.280000,215.730000,704.160000,338.770000,649.440000,404.920000,679.110000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
127.477578,885.546306,187.880000,788.940000,220.400000,735.400000,149.370000,728.250000,215.210000,703.600000,338.830000,648.610000,404.930000,678.580000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
117.332693,887.892140,186.400000,788.420000,219.920000,734.920000,148.900000,727.290000,214.930000,703.080000,338.330000,648.030000,404.460000,678.150000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
107.399159,889.384943,185.910000,787.910000,219.900000,734.380000,148.490000,726.790000,214.950000,702.730000,338.480000,647.810000,404.470000,677.980000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
98.311033,890.451230,184.870000,788.400000,219.930000,733.940000,148.420000,726.770000,214.950000,702.250000,338.160000,647.970000,403.970000,678.010000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93.449942,883.413731,183.360000,787.430000,219.940000,733.420000,148.420000,726.370000,214.960000,701.850000,337.960000,647.500000,403.960000,678.510000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
