pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y,pt8_cam1_X,pt8_cam1_Y,pt9_cam1_X,pt9_cam1_Y,pt10_cam1_X,pt10_cam1_Y,pt11_cam1_X,pt11_cam1_Y,pt12_cam1_X,pt12_cam1_Y,pt13_cam1_X,pt13_cam1_Y,pt14_cam1_X,pt14_cam1_Y
579.881798,833.060143,515.93655,809.301108,565.679958,762.477922,492,718.07,555.501515,714.66834,713.09,707.03,771.53,742.49,335.04,734.96,39,819.81,NaN,NaN,NaN,NaN,NaN,NaN,618.768283,868.572454,619.862186,876.945987
612.013778,843.619829,519.859033,811.730182,565.679958,762.477922,492.01,718.02,555.217664,714.66834,713.16,707.12,772.02,743.02,335.77,735.49,39.01,819.35,NaN,NaN,NaN,NaN,NaN,NaN,618.768283,868.447005,620.124116,877.061743
638.353196,850.179514,524.958262,811.356479,567.453119,762.477922,492.02,718.04,554.933813,714.66834,713.16,707.05,772.04,743,335.53,735.81,39,818.91,NaN,NaN,NaN,NaN,NaN,NaN,619.06988,868.759729,620.51701,877.061743
657.259055,851.616612,531.822609,810.982775,568.521409,762.418544,492.02,718.51,555.785366,714.097253,713.7,706.97,772.06,742.97,335.24,736.15,39.04,819.34,NaN,NaN,NaN,NaN,NaN,NaN,619.06988,868.572454,620.51701,877.293255
667.866038,857.363932,537.400593,810.509345,569.657989,762.477922,492.53,718.95,556.069217,714.382797,714.3,707.05,772.06,742.98,335.58,736.18,39.57,818.73,NaN,NaN,NaN,NaN,NaN,NaN,618.768283,868.885178,620.386045,877.177499
672.132757,873.371214,540.893472,810.509345,571.43115,762.977922,493.06,718.96,556.069217,714.66834,714.81,707.16,773.56,743.08,336.09,736.17,40.11,818.26,NaN,NaN,NaN,NaN,NaN,NaN,618.768283,868.259729,620.51701,877.293255
674.302469,880.314937,542.274253,810.497384,573.06773,763.656058,493.85488,718.771584,556.636919,714.382797,715.67,707.43,774.33,743.02,336.37,736.44,40.87,817.5,NaN,NaN,NaN,NaN,NaN,NaN,619.466686,868.63428,620.51701,877.409011
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
